County,YEAR,WEEK,Tornado,Hail,Hurricane
HILLSBOROUGH,2019,29,0,1,0
HILLSBOROUGH,2020,51,1,0,0
HILLSBOROUGH,2021,22,0,1,0
HILLSBOROUGH,2022,22,1,0,0
HILLSBOROUGH,2023,17,0,2,0
HILLSBOROUGH,2023,23,0,1,0
HILLSBOROUGH,2024,2,1,0,0
HILLSBOROUGH,2024,10,0,1,0
HILLSBOROUGH,2024,41,0,0,3
